dataset_key,decision,role,source,artifact_references,existing_file_objects,directory_objects,direct_file_bytes,exclusive_direct_file_bytes,additional_direct_file_bytes_in_order,covered_by,view_references,lineage_referenced_by,issues,reason,notes
emotion1200_en_sec@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:32,2,2,0,442645,351484,442645,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
emotion1200_en_sepc@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:34,2,2,0,684171,593010,593010,emotion1200_en_sec@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
emotion1200_en_ser@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:30,2,2,0,174078,82917,82917,emotion1200_en_sec@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
emotion1200_zh_sec@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:33,2,2,0,506121,393625,506121,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
emotion1200_zh_sepc@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:35,2,2,0,726010,613514,613514,emotion1200_zh_sec@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
emotion1200_zh_ser@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:31,2,2,0,218328,105832,105832,emotion1200_zh_sec@eval-20260804,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
fleurs_ar@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:2,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
fleurs_bn@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:8,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
fleurs_de@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:13,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
fleurs_en@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:16,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
fleurs_es@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:19,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
fleurs_fr@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:24,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
fleurs_ja@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:29,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
fleurs_ko@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:33,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
fleurs_ru@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:37,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
fleurs_zh@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:31,6,6,0,385123,0,385123,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
fleurs_zh@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:40,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
fleurs_zh@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:26,6,6,0,385123,0,0,fleurs_zh@icefall-20260908,,fleurs_zh@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
gigaspeech2@hf-8dc0d0e502b7,retain,下载来源声明,catalog/download_queue.jsonl:6,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
gigaspeech2_id@local-20260805,retain,源数据或独立产物,catalog/local_lhotse_derived.jsonl:1,2,2,0,80439719,58672144,80439719,,gigaspeech2_id/hotwords@v1-20260805:source,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
gigaspeech2_id_hotwords@hotwords-v1-20260805,retain,清洗或热词视图,catalog/local_lhotse_derived.jsonl:2,2,2,0,28544960,6777385,6777385,gigaspeech2_id@local-20260805,gigaspeech2_id/hotwords@v1-20260805:result,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
gigaspeech@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:8,2,2,0,1195945,0,0,gigaspeech@icefall-20260908,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
gigaspeech@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:3,6,6,0,339347669,0,339347669,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
gigaspeech@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:3,6,6,0,339347669,0,0,gigaspeech@icefall-20260908,,gigaspeech@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
granary@hf-0fe23a860e35,hold,下载来源声明,catalog/download_queue.jsonl:7,1,0,0,0,0,0,,,,unconfigured_root,路径未就绪或大小与登记不符；不作为可替代版本。,
icefall_v10_farfield_replay@prepared-20260908,retain,训练混合配方,catalog/icefall_v10_replay.jsonl:1,1828,1828,0,3184280463,3184280463,3184280463,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,"当前回放配方引用 1,828 个文件，共 3,184,280,463 bytes；保留配方和当前划分，未来验证可复现后再考虑仅留配方。"
iemocap_ser@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:28,2,2,0,46832,46832,46832,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
indicvoices@hf-c96f9088f138,retain,源数据或独立产物,catalog/multilingual_multispeaker.jsonl:2,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
kespeech@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:5,2,2,0,1268269,0,0,kespeech@icefall-20260908,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
kespeech@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:25,11,11,0,58046257,0,58046257,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
kespeech@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:20,10,10,0,57104365,0,0,kespeech@icefall-20260908,kespeech/clean@v1-20260805:source;kespeech/hotwords@v1-20260805:source,kespeech@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
kespeech_clean@clean-v1-20260805,reference_only,清洗或热词视图,catalog/local_lhotse_derived.jsonl:3,2,2,0,1314441,0,0,kespeech@icefall-20260908,kespeech/clean@v1-20260805:result,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
kespeech_hotwords@hotwords-v1-20260805,retain,清洗或热词视图,catalog/local_lhotse_derived.jsonl:4,2,2,0,1354883,982334,982334,kespeech@icefall-20260908,kespeech/hotwords@v1-20260805:result,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
koreaspeech@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:34,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
legco_speech@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:37,2,2,0,934181073,0,934181073,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
legco_speech@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:32,2,2,0,934181073,0,0,legco_speech@icefall-20260908,,legco_speech@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
legco_speech_en@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:38,2,2,0,11008167,0,11008167,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
legco_speech_en@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:33,2,2,0,11008167,0,0,legco_speech_en@icefall-20260908,,legco_speech_en@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
lemas@hf-91f0c1b9a29f,hold,下载来源声明,catalog/download_queue.jsonl:9,1,0,0,0,0,0,,,,unconfigured_root,路径未就绪或大小与登记不符；不作为可替代版本。,
libri2mix_lib@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:39,1,1,0,1396582,1396582,1396582,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
libri2mix_snrp10@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:43,1,1,0,1395365,1395365,1395365,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
libri2mix_snrp5@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:41,1,1,0,1394267,1394267,1394267,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
libri2mix_tsstyle@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:36,1,1,0,1350415,1350415,1350415,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
libri3mix_lib@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:40,1,1,0,2226329,2226329,2226329,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
libri3mix_snrp10@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:44,1,1,0,2225096,2225096,2225096,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
libri3mix_snrp5@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:42,1,1,0,2222556,2222556,2222556,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
libri3mix_tsstyle@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:37,1,1,0,2498911,2498911,2498911,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
librispeech@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:19,4,4,0,381009,0,0,librispeech@icefall-20260908,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
librispeech@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:1,14,14,0,27631819,0,27631819,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
librispeech@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:1,14,14,0,27631819,0,0,librispeech@icefall-20260908,,librispeech@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
librispeech_test_clean@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:21,2,2,0,189048,0,0,librispeech@icefall-20260908,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
librispeech_test_clean_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:17,2,2,0,213854,178259,178259,librispeech@icefall-20260908,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
librispeech_test_other@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:22,2,2,0,191961,0,0,librispeech@icefall-20260908,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
librispeech_test_other_hotwords@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:18,2,2,0,214315,175067,175067,librispeech@icefall-20260908,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
librispeech_traffic_snr0@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:49,2,2,0,897866,0,897866,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
librispeech_traffic_snr0@recipe-1,reference_only,噪声派生配方,catalog/icefall_traffic_derived.jsonl:1,2,2,0,897866,0,0,librispeech_traffic_snr0@icefall-20260908,,librispeech_traffic_snr0@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
librispeech_traffic_snr10@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:57,2,2,0,898298,0,898298,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
librispeech_traffic_snr10@recipe-1,reference_only,噪声派生配方,catalog/icefall_traffic_derived.jsonl:9,2,2,0,898298,0,0,librispeech_traffic_snr10@icefall-20260908,,librispeech_traffic_snr10@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
librispeech_traffic_snr15@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:61,2,2,0,897219,0,897219,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
librispeech_traffic_snr15@recipe-1,reference_only,噪声派生配方,catalog/icefall_traffic_derived.jsonl:13,2,2,0,897219,0,0,librispeech_traffic_snr15@icefall-20260908,,librispeech_traffic_snr15@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
librispeech_traffic_snr20@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:65,2,2,0,897868,0,897868,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
librispeech_traffic_snr20@recipe-1,reference_only,噪声派生配方,catalog/icefall_traffic_derived.jsonl:17,2,2,0,897868,0,0,librispeech_traffic_snr20@icefall-20260908,,librispeech_traffic_snr20@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
librispeech_traffic_snr5@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:53,2,2,0,899085,0,899085,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
librispeech_traffic_snr5@recipe-1,reference_only,噪声派生配方,catalog/icefall_traffic_derived.jsonl:5,2,2,0,899085,0,0,librispeech_traffic_snr5@icefall-20260908,,librispeech_traffic_snr5@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
m3ed_ser@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:26,2,2,0,210070,210070,210070,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
magicdata@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:4,2,2,0,957971,0,0,magicdata@icefall-20260908,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
magicdata@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:23,6,6,0,24209681,0,24209681,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
magicdata@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:18,6,6,0,24209681,0,0,magicdata@icefall-20260908,magicdata/hotwords@v1-20260805:source,magicdata@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
magicdata_hotwords@hotwords-v1-20260805,retain,清洗或热词视图,catalog/local_lhotse_derived.jsonl:5,2,2,0,23882612,17680696,17680696,magicdata@icefall-20260908,magicdata/hotwords@v1-20260805:result,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
magicdata_ramc@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:24,6,6,0,9079812,0,9079812,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
magicdata_ramc@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:19,6,6,0,9079812,0,0,magicdata_ramc@icefall-20260908,,magicdata_ramc@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
mdcc@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:39,6,6,0,6631122,0,6631122,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
mdcc@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:34,6,6,0,6631122,0,0,mdcc@icefall-20260908,,mdcc@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
mdcc_traffic_snr0@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:51,1,1,0,1983502,0,1983502,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
mdcc_traffic_snr0@recipe-1,reference_only,噪声派生配方,catalog/icefall_traffic_derived.jsonl:3,1,1,0,1983502,0,0,mdcc_traffic_snr0@icefall-20260908,,mdcc_traffic_snr0@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
mdcc_traffic_snr10@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:59,1,1,0,1982917,0,1982917,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
mdcc_traffic_snr10@recipe-1,reference_only,噪声派生配方,catalog/icefall_traffic_derived.jsonl:11,1,1,0,1982917,0,0,mdcc_traffic_snr10@icefall-20260908,,mdcc_traffic_snr10@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
mdcc_traffic_snr15@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:63,1,1,0,1984276,0,1984276,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
mdcc_traffic_snr15@recipe-1,reference_only,噪声派生配方,catalog/icefall_traffic_derived.jsonl:15,1,1,0,1984276,0,0,mdcc_traffic_snr15@icefall-20260908,,mdcc_traffic_snr15@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
mdcc_traffic_snr20@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:67,1,1,0,1983458,0,1983458,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
mdcc_traffic_snr20@recipe-1,reference_only,噪声派生配方,catalog/icefall_traffic_derived.jsonl:19,1,1,0,1983458,0,0,mdcc_traffic_snr20@icefall-20260908,,mdcc_traffic_snr20@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
mdcc_traffic_snr5@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:55,1,1,0,1983785,0,1983785,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
mdcc_traffic_snr5@recipe-1,reference_only,噪声派生配方,catalog/icefall_traffic_derived.jsonl:7,1,1,0,1983785,0,0,mdcc_traffic_snr5@icefall-20260908,,mdcc_traffic_snr5@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
meld_ser@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:27,2,2,0,139948,139948,139948,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
mgb2@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:3,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
mls@eval-20260804,reference_only,评测入口,catalog/open_audio_eval.jsonl:9,2,2,0,412690,0,0,mls@icefall-20260908,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
mls@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:2,6,6,0,1163098975,0,1163098975,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
mls@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:2,6,6,0,1163098975,0,0,mls@icefall-20260908,,mls@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
mls_de@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:14,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
mls_es@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:20,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
mls_fr@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:25,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
msp_podcast_ser@eval-20260804,retain,评测入口,catalog/open_audio_eval.jsonl:29,4,4,0,1365834,1365834,1365834,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
multi-talker-sd@hf-be2d372003fd,retain,源数据或独立产物,catalog/multilingual_multispeaker.jsonl:3,3,0,3,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
notsofar@hf-ba8fd0f034ce-recorded-240825.1,retain,源数据或独立产物,catalog/multilingual_multispeaker.jsonl:5,3,0,3,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
notsofar@hf-ba8fd0f034ce-sim-v1.5-200h,retain,源数据或独立产物,catalog/multilingual_multispeaker.jsonl:6,2,0,2,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
notsofar_sdm@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:46,6,6,0,28091646,28091646,28091646,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
omnilingual-asr-corpus@hf-8648ba894637,hold,下载来源声明,catalog/download_queue.jsonl:8,1,0,0,0,0,0,,,,unconfigured_root,路径未就绪或大小与登记不符；不作为可替代版本。,
open_large_bn@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:9,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
police_robust_monitor@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:69,8,8,0,61545,61545,61545,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
police_synthetic_zh_accent@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:11,8,8,0,3678481,0,3678481,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,此入口实际引用 v3 训练与 v2 测试；与 police_terms_v5 的 v5 划分入口并存。derived_from 指向 v5 与实际引用不一致，但 v5 源文件确实存在。
police_synthetic_zh_accent@v1-20260817,retain,合成源数据,catalog/synthetic_asr.jsonl:1,8,8,0,53316614,48391985,53316614,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,"20,000 条源音频也被 v2 的 train 引用；保留独有元数据，音频只备份一次。"
police_synthetic_zh_accent@v2-20260818,retain,合成源数据,catalog/synthetic_asr.jsonl:2,15,15,0,14176593,8354749,8354749,police_synthetic_zh_accent@icefall-20260908;police_synthetic_zh_accent@v1-20260817,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,"复用 v1 的 20,000 条训练音频，新增 2,000 条测试音频；当前运行快照依赖此测试集。"
police_synthetic_zh_accent@v3-20260820,retain,合成源数据,catalog/synthetic_asr.jsonl:3,10,10,0,45548961,42767695,42767695,police_synthetic_zh_accent@icefall-20260908,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,"14,093 条音频；此入口的训练源仍被运行快照和回放配方使用，与 police_terms_v5 的 v5 训练数据并存。"
police_synthetic_zh_accent@v5-20260830-qc,retain,合成源数据,catalog/synthetic_asr_v5_qc.jsonl:1,6,6,0,5308124,5308124,5308124,,,police_synthetic_zh_accent@v5-20260830-qwen75-cosy25,,文件路径已补正且完整性匹配登记；保留来源或选择清单，音频与派生版本共享。,"已补正遗漏的 LHOTSE/；6 个文件的大小、SHA-256 和记录数均匹配登记。14,423 个源音频存在；含未被选择版覆盖的 3,572 条，保留来源与独有音频。"
police_synthetic_zh_accent@v5-20260830-qwen75-cosy25,retain,合成源数据,catalog/synthetic_asr.jsonl:4,7,7,0,4576743,4576743,4576743,,,police_synthetic_zh_accent@icefall-20260908,,文件路径已补正且完整性匹配登记；保留来源或选择清单，音频与派生版本共享。,"已补正遗漏的 LHOTSE/；7 个文件完整性匹配登记。10,851 条音频均来自 QC 源；其中 1,730 条未进入当前划分版。保留选择清单，共享源音频。"
police_terms_v5@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:12,4,4,0,1781255,1644354,1781255,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,"当前训练入口，目录 v5-20260830-qwen75-cosy25-split80-10-10；train 7,878 条、dev 658 条。与 police_synthetic_zh_accent 同时出现在 v10/v11 训练脚本中；必须保留。"
police_terms_v5_dev@icefall-20260908,reference_only,运行快照,catalog/icefall_runtime.jsonl:13,2,2,0,136901,0,0,police_terms_v5@icefall-20260908,,,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,保留评测别名；复用 police_terms_v5 的 658 条 dev 数据，reference_only 不表示排除开发集。
police_terms_v5_test@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:14,2,2,0,122253,122253,122253,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,"保留 v5 划分版独立的 585 条 test 数据。train/dev/test 共 9,121 条，源音频全部存在。"
primewords@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:27,2,2,0,5458877,0,5458877,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
primewords@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:22,2,2,0,5458877,0,0,primewords@icefall-20260908,,primewords@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
real_rir_slr28@prepared-20260908,retain,源数据或独立产物,catalog/icefall_runtime.jsonl:70,1,1,0,2402,2402,2402,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
realman@icefall-20260908,retain,源数据或独立产物,catalog/icefall_runtime.jsonl:48,120,119,0,258796455459,258796455459,258796455459,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
reazonspeech@hf-0df78f991f6a,hold,下载来源声明,catalog/download_queue.jsonl:10,1,0,0,0,0,0,,,,unconfigured_root,路径未就绪或大小与登记不符；不作为可替代版本。,
rulibrispeech_ru@legacy,retain,源数据或独立产物,catalog/legacy_multilingual.jsonl:38,1,0,1,0,0,0,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
singapore_english@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:6,4,4,0,120840,0,120840,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
singapore_english@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:6,4,4,0,120840,0,0,singapore_english@icefall-20260908,,singapore_english@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
singaporean@icefall-20260908,retain,运行快照,catalog/icefall_runtime.jsonl:5,2,2,0,5621,0,5621,,,,,存在独立产物或源目录；暂无完整替代证据，保留并展开后续音频依赖。,
singaporean@legacy-20260804,reference_only,历史基础入口,catalog/icefall_base.jsonl:5,2,2,0,5621,0,0,singaporean@icefall-20260908,,singaporean@icefall-20260908,,全部直接产物由所列保留版本覆盖；保留声明、划分及视图，只合并物理备份。,
